level_reached,total_sequences,correct_sequences,wrong_attempts,avg_reaction_time,max_streak,session_duration,memory_score
9,9,7,7,1000,6,162,30.0
13,13,13,4,399,9,211,62.4
5,5,3,4,1069,5,295,30.0
12,12,9,2,1175,8,123,39.36
5,5,2,2,946,2,132,30.0
22,22,22,6,727,9,234,74.0
5,5,3,0,861,5,191,32.82
12,12,9,5,776,3,277,30.0
14,14,8,9,569,9,265,30.0
20,20,14,7,516,14,100,53.76
17,17,8,8,1138,10,147,30.0
13,13,8,0,691,4,222,44.2
3,3,3,4,789,2,100,30.0
7,7,5,7,1025,4,94,30.0
3,3,3,4,761,2,60,30.0
16,16,14,8,506,16,149,65.8
12,12,9,2,874,8,111,56.49
7,7,7,3,824,4,145,33.42
4,4,3,8,945,3,249,30.0
9,9,9,0,684,2,86,48.2
22,22,19,2,658,7,259,73.29
3,3,3,9,983,3,266,30.0
24,24,19,8,991,18,121,71.09
19,19,13,0,380,18,61,89.03
4,4,3,6,1035,2,188,30.0
14,14,8,5,715,8,127,33.59
13,13,13,0,1066,7,83,63.46
24,24,22,0,500,7,267,99.89
5,5,5,3,702,3,254,30.0
9,9,7,8,939,8,141,30.0
10,10,5,8,772,3,210,30.0
9,9,7,9,923,2,119,30.0
19,19,10,0,603,13,256,75.24
11,11,5,2,958,4,207,30.0
24,24,19,0,927,12,172,93.93
20,20,11,1,1121,4,267,41.01
11,11,8,0,879,2,201,46.21
10,10,7,0,939,2,235,32.12
14,14,9,2,769,8,81,54.01
4,4,2,0,583,4,251,31.14
3,3,1,2,815,2,251,30.0
16,16,12,5,398,13,292,66.45
7,7,7,0,601,6,154,46.75
3,3,3,1,1092,3,282,30.0
24,24,21,2,1171,15,83,94.76
4,4,4,9,685,3,76,30.0
10,10,5,8,1110,7,235,30.0
5,5,3,8,707,2,119,30.0
9,9,4,3,984,5,124,30.0
16,16,10,6,442,13,157,49.72
4,4,4,5,350,2,245,30.0
24,24,12,3,981,7,74,50.17
24,24,22,4,563,22,119,100.0
6,6,4,3,649,4,114,30.0
10,10,8,1,935,4,204,32.76
7,7,4,4,1129,2,199,30.0
23,23,11,9,933,2,298,30.0
18,18,17,7,536,2,75,38.22
9,9,8,5,1160,8,254,30.0
7,7,3,4,346,2,153,30.0
16,16,11,4,503,11,277,42.73
3,3,2,4,322,3,69,30.0
24,24,16,3,1101,21,282,100.0
15,15,10,7,635,8,61,35.72
19,19,19,3,963,13,237,76.57
21,21,20,4,567,4,124,71.68
3,3,2,1,552,2,94,31.11
12,12,7,1,414,10,194,52.26
6,6,4,4,925,6,134,30.0
23,23,23,8,975,11,160,72.41
11,11,7,0,398,5,269,55.5
7,7,6,0,994,6,82,32.48
5,5,2,0,1180,3,143,30.0
21,21,10,3,695,10,206,58.85
14,14,7,6,1095,5,142,30.0
7,7,5,8,1190,6,287,30.0
23,23,17,8,338,14,240,66.74
7,7,5,6,1032,4,134,30.0
20,20,18,9,791,18,289,69.4
12,12,6,1,1094,11,253,41.59
7,7,7,4,721,4,195,30.0
22,22,11,6,516,14,191,49.64
6,6,4,2,744,5,241,30.0
21,21,16,2,472,14,279,92.72
22,22,22,7,1128,10,226,68.04
19,19,17,7,416,7,117,66.34
14,14,11,4,379,7,272,55.79
20,20,18,0,825,16,218,99.77
3,3,1,5,1185,2,203,30.0
12,12,11,7,967,6,67,30.0
6,6,4,7,997,5,237,30.0
6,6,6,5,444,2,220,30.0
23,23,14,2,552,7,141,75.38
4,4,3,7,1097,3,168,30.0
7,7,3,5,364,3,283,30.0
19,19,9,1,404,4,188,60.1
23,23,17,5,775,18,256,89.08
7,7,4,9,382,2,144,30.0
16,16,16,0,350,14,264,100.0
10,10,6,7,850,3,241,30.0
24,24,14,1,567,2,113,62.73
17,17,14,4,1152,15,125,69.67
13,13,8,6,721,13,285,46.87
17,17,10,1,607,10,225,55.07
3,3,3,6,405,2,140,30.0
22,22,18,4,845,7,112,69.08
4,4,2,2,410,2,210,30.0
10,10,8,7,580,4,155,30.0
5,5,4,1,360,3,110,32.72
23,23,16,0,944,10,71,76.32
16,16,9,0,377,11,104,68.33
17,17,16,5,538,9,153,63.87
13,13,12,0,325,5,60,70.41
22,22,18,5,825,15,275,73.62
4,4,2,9,825,4,115,30.0
16,16,9,9,1105,4,174,30.0
17,17,16,6,784,13,261,70.27
24,24,21,8,444,14,271,81.24
6,6,4,2,532,6,205,35.75
4,4,4,7,668,4,101,30.0
11,11,9,5,991,11,123,30.0
15,15,12,4,676,2,240,45.19
24,24,16,5,881,24,171,86.47
11,11,11,2,542,9,288,60.09
6,6,6,5,621,5,279,30.0
8,8,6,8,493,8,262,30.0
10,10,6,2,472,6,129,45.76
14,14,13,0,389,7,96,71.15
13,13,12,3,1144,12,62,54.38
12,12,10,6,949,3,72,30.0
10,10,6,3,620,6,132,38.25
