reaction_time_avg,reaction_time_variance,correct_hits,wrong_hits,missed_targets,accuracy,session_duration,cognitive_score
492,152,48,12,14,74,83,43.19
337,210,41,6,9,76,117,62.37
488,157,32,14,12,76,110,43.97
638,139,31,11,23,53,119,32.66
813,130,65,12,28,54,109,30.0
505,93,63,10,11,63,121,48.11
294,239,69,3,0,99,112,85.0
340,138,36,9,5,87,68,67.63
435,130,37,9,7,82,94,61.13
240,61,63,0,7,96,92,88.32
611,221,69,14,17,63,94,30.0
300,191,68,4,11,79,86,64.72
414,101,61,7,16,69,63,48.2
570,135,57,11,12,63,125,39.89
361,77,57,7,10,83,103,67.36
491,170,56,5,10,66,121,47.9
782,249,56,16,20,42,68,30.0
551,229,78,10,17,74,121,41.48
251,162,66,1,2,96,115,84.06
453,196,31,5,10,64,112,47.69
559,232,40,11,13,65,115,43.01
515,188,77,10,15,61,75,34.2
423,197,65,8,7,85,78,65.99
598,217,68,13,10,79,60,47.53
341,161,78,9,14,77,61,61.75
782,180,49,12,30,42,83,30.0
560,213,67,5,17,79,84,57.13
367,97,49,8,9,75,67,60.52
444,168,51,6,7,75,89,56.51
226,79,62,1,4,95,87,84.81
360,241,78,6,7,77,76,62.04
405,73,58,13,14,62,105,44.2
298,240,50,0,3,96,91,79.07
830,153,75,24,17,49,83,30.0
574,66,69,14,11,61,92,37.49
325,201,42,4,13,77,119,58.01
456,57,75,8,10,63,75,47.44
590,112,51,13,19,78,117,36.95
248,64,72,1,5,88,119,82.73
507,55,74,11,13,64,106,38.6
351,207,48,4,14,87,76,58.21
389,111,52,4,9,79,68,51.9
428,83,61,4,5,84,107,66.16
368,244,41,7,11,80,85,71.32
485,143,75,9,10,73,121,48.76
588,72,39,10,19,43,128,33.06
337,145,30,2,1,94,128,83.01
201,209,56,3,7,85,83,83.87
423,220,66,3,7,75,71,62.25
243,144,75,4,3,97,61,81.21
791,139,37,16,31,42,85,30.0
534,163,74,14,14,63,88,43.01
766,187,66,22,18,60,83,30.0
336,62,52,3,11,86,89,61.4
261,190,48,0,5,88,108,75.89
327,160,45,2,1,88,128,80.57
424,102,52,9,13,79,75,50.7
532,125,38,11,11,62,117,40.06
306,219,38,7,12,88,109,58.69
408,194,36,8,8,75,104,57.1
369,238,73,9,7,86,113,58.95
525,197,57,6,19,62,120,43.31
300,240,78,7,13,77,84,59.08
243,96,50,4,4,97,95,83.44
319,98,43,4,13,83,74,75.72
443,65,37,3,14,81,83,54.01
307,139,37,6,8,84,117,63.87
591,206,42,13,10,76,105,38.97
631,202,31,14,29,58,69,30.0
210,135,56,1,6,89,108,77.35
397,198,77,5,5,83,114,66.45
301,102,66,4,6,87,76,73.56
509,239,30,7,13,60,91,41.84
402,182,59,5,15,77,116,53.77
346,134,43,9,9,81,125,62.52
381,240,63,9,7,88,111,64.7
478,182,58,7,10,69,63,55.76
383,55,31,7,6,82,102,62.63
514,232,45,13,16,74,75,37.09
594,100,48,6,19,62,80,38.14
641,50,34,22,20,49,71,30.0
444,96,51,14,18,68,115,35.21
262,85,30,0,1,97,67,81.12
